db_n	db_fname	db_ftype	db_fqualifier	db_fx	dcm_tagname	dcm_formula	dcm_t	dcm_tag	ctn_tag	lkemod_tag	fmr_tag	hfm_tag	tomo_tag
0					UKDataZZBAABBA		n	0021.1221		0021.1221			
0					ImagePresentationGroupLength		l	0028.0000		0028.0000			
0	samples_per_pixel	INT			SamplesPerPixel		w	0028.0002	0028.0002		0028.0002	0028.0002	
0					PhotometricInterpretation		t	0028.0004	0028.0004		0028.0004	0028.0004	
0	rows	INT			Rows		w	0028.0010	0028.0010	0028.0010	0028.0010	0028.0010	
0	columns	INT			Columns		w	0028.0011	0028.0011	0028.0011	0028.0011	0028.0011	
2					PixelSpacing		a.n	0028.0030	0028.0030	0028.0030	0028.0030	0028.0030	
0					ZoomFactor		a.n	0028.0031	0028.0031				
0					ZoomCenter		a.n	0028.0032	0028.0032				
0					PixelAspectRatio		a.n	0028.0034	0028.0034		0028.0034	0028.0034	
0	bits_allocated	INT			BitsAllocated		w	0028.0100	0028.0100	0028.0100	0028.0100	0028.0100	
0	bits_stored	INT			BitsStored		w	0028.0101	0028.0101	0028.0101	0028.0101	0028.0101	
0	high_bit				HighBit		w	0028.0102	0028.0102	0028.0102	0028.0102	0028.0102	
0	pixel_representation	INT			PixelRepresentation		w	0028.0103	0028.0103	0028.0103	0028.0103	0028.0103	
0					WindowCenter		n	0028.1050	0028.1050	0028.1050	0028.1050	0028.1050	
0					WindowWidth		n	0028.1051	0028.1051	0028.1051	0028.1051	0028.1051	
0					RescaleIntercept		n	0028.1052	0028.1052	0028.1052	0028.1052	0028.1052	
0					RescaleSlope		n	0028.1053	0028.1053	0028.1053	0028.1053	0028.1053	
0					RescaleType		t	0028.1054	0028.1054		0028.1054	0028.1054	
					LossyImageCompression		t	0028.2110			0028.2110	0028.2110	
0					PrivateGroupCLength		l	0029.0000		0029.0000			
0					PrivateCreatorPart		t	0029.0010		0029.0010			
0					PrivateCreatorLast		t	0029.0011		0029.0011			
0					UKDataZZBIAZZD		w	0029.1004		0029.1004			
0					UKDataZZBIAZBZ		t	0029.1020		0029.1020			
0					UKDataZZBIAZCA		a.n	0029.1031		0029.1031			
0					UKDataZZBIAZCB		a.n	0029.1032		0029.1032			
0					UKDataZZBIAZEZ		n	0029.1050		0029.1050			
0					UKDataZZBIAZEA		n	0029.1051		0029.1051			
0					UKDataZZBIAZEB		n	0029.1052		0029.1052			
0					UKDataZZBIAZEC		n	0029.1053		0029.1053			
0					UKDataZZBIAAAZ		n	0029.1110		0029.1110			
0					UKDataZZBIAABZ		n	0029.1120		0029.1120			
0					UKDataZZBIAAFA		n	0029.1161		0029.1161			
0					UKDataZZBIAAFB		n	0029.1162		0029.1162			
0					UKDataZZBIAAHC		n	0029.1183		0029.1183			
0					StudyComments		t	0032.4000	0032.4000				
0					PerformedStationAETitle		t	0040.0241			0040.0241	0040.0241	
0					PerformedProcedureStepStartDate		d	0040.0244			0040.0244	0040.0244	
0					PerformedProcedureStepStartTime		h	0040.0245			0040.0245	0040.0245	
0					PerformedProcedureStepEndDate		d	0040.0250			0040.0250	0040.0250	
0					PerformedProcedureStepEndTime		h	0040.0251			0040.0251	0040.0251	
0					PerformedProcedureStepID		n	0040.0253			0040.0253	0040.0253	
0					PerformedProcedureStepDescription		t	0040.0254			0040.0254	0040.0254	
0					RequestAttributesSequence		r	0040.0275	0040.0275				
11	comments	CHAR(64)			CommentsOnThePerformedProcedureStep		t	0040.0280			0040.0280	0040.0280	
0					PrivateGroupDLength		l	0041.0000		0041.0000			
0					PrivateCreatorNameRepB		t	0041.0010		0041.0010			
0	number_of_slices	INT			NumberOfSlices		n	0054.0081					
0					UKDataBZZAZZAZ		t	2001.0010	2001.0010		2001.0010	2001.0010	
0					UKDataBZZAAZZA		l	2001.1001	2001.1001		2001.1001	2001.1001	
0					UKDataBZZAAZZB		n	2001.1002	2001.1002		2001.1002	2001.1002	
0					UKDataBZZAAZZC		l	2001.1003	2001.1003		2001.1003	2001.1003	
0					UKDataBZZAAZZD		r	2001.1004	2001.1004				
0					UKDataBZZAAZZF		c	2001.1006	2001.1006		2001.1006	2001.1006	
0					UKDataBZZAAZZG		t	2001.1007	2001.1007		2001.1007	2001.1007	
0					UKDataBZZAAZZH		n	2001.1008	2001.1008		2001.1008	2001.1008	
0					UKDataBZZAAZZI		l	2001.1009	2001.1009		2001.1009	2001.1009	
0					CTNSliceNumber		n	2001.100A	2001.100A		2001.100A	2001.100A	
0					CTNSliceOrientation		t	2001.100B	2001.100B		2001.100B	2001.100B	
0					UKDataBZZAAZZL		c	2001.100C	2001.100C		2001.100C	2001.100C	
0					UKDataBZZAAZZN		c	2001.100E	2001.100E		2001.100E	2001.100E	
0					UKDataBZZAAZZO		w	2001.100F	2001.100F		2001.100F	2001.100F	
0					UKDataBZZAAZAZ		t	2001.1010	2001.1010		2001.1010	2001.1010	
0					UKDataBZZAAZAA		l	2001.1011	2001.1011		2001.1011	2001.1011	
0					UKDataBZZAAZAB		c	2001.1012	2001.1012		2001.1012	2001.1012	
0					UKDataBZZAAZAC		l	2001.1013	2001.1013		2001.1013	2001.1013	
0					UKDataBZZAAZAD		l	2001.1014	2001.1014		2001.1014	2001.1014	
0					UKDataBZZAAZAE		w	2001.1015	2001.1015		2001.1015	2001.1015	
0					UKDataBZZAAZAF		w	2001.1016	2001.1016		2001.1016	2001.1016	
0					UKDataBZZAAZAG		l	2001.1017	2001.1017		2001.1017	2001.1017	
0					CTNNumberOfSlices		l	2001.1018	2001.1018		2001.1018	2001.1018	
0					UKDataBZZAAZAI		c	2001.1019	2001.1019		2001.1019	2001.1019	
0					UKDataBZZAAZAJ		a.l	2001.101A	2001.101A		2001.101A	2001.101A	
0					UKDataBZZAAZAK		l	2001.101B	2001.101B		2001.101B	2001.101B	
0					UKDataBZZAAZAL		t	2001.101C	2001.101C		2001.101C	2001.101C	
9					CTNSubSeriesNumber		n	2001.101D	2001.101D		2001.101D	2001.101D	
0					UKDataBZZAAZAN		r	2001.101E	2001.101E				
0					UKDataBZZAAZAO		t	2001.101F	2001.101F		2001.101F	2001.101F	
0					UKDataBZZAAZBZ		t	2001.1020	2001.1020		2001.1020	2001.1020	
0					UKDataBZZAAZBA		c	2001.1021	2001.1021		2001.1021	2001.1021	
0					UKDataBZZAAZBB		l	2001.1022	2001.1022		2001.1022	2001.1022	
0					UKDataBZZAAZBC		n	2001.1023	2001.1023		2001.1023	2001.1023	
0					UKDataBZZAAZBD		c	2001.1024	2001.1024		2001.1024	2001.1024	
0					UKDataBZZAAZBE		n	2001.1025	2001.1025		2001.1025	2001.1025	
0					UKDataBZZAAZCO		t	2001.103F	2001.103F				
0					UKDataBZZAAZEC		c	2001.1053	2001.1053				
0					UKDataBZZAAZEO		r	2001.105F	2001.105F				
0					UKDataBZZAAZFZ		l	2001.1060	2001.1060		2001.1060	2001.1060	
0					PrivateCreatorNameRepC		t	2005.0010	2005.0010				
0					UKDataBZZEAZZZ		l	2005.1000	2005.1000				
0					UKDataBZZEAZZA		l	2005.1001	2005.1001				
0					UKDataBZZEAZZB		l	2005.1002	2005.1002				
0					UKDataBZZEAZZC		n	2005.1003	2005.1003				
0					UKDataBZZEAZZD		t	2005.1004	2005.1004				
0					UKDataBZZEAZZE		n	2005.1005	2005.1005				
0					UKDataBZZEAZZF		r	2005.1006	2005.1006				
0					UKDataBZZEAZZG		n	2005.1007	2005.1007				
0					UKDataBZZEAZZH		l	2005.1008	2005.1008				
0					UKDataBZZEAZZI		l	2005.1009	2005.1009				
0					UKDataBZZEAZZJ		l	2005.100A	2005.100A				
0					UKDataBZZEAZZK		l	2005.100B	2005.100B				
0					UKDataBZZEAZZL		l	2005.100C	2005.100C				
0					UKDataBZZEAZZM		l	2005.100D	2005.100D				
0					UKDataBZZEAZZN		l	2005.100E	2005.100E				
0					UKDataBZZEAZZO		n	2005.100F	2005.100F				
0					UKDataBZZEAZAZ		n	2005.1010	2005.1010				
0					UKDataBZZEAZAA		c	2005.1011	2005.1011				
0					UKDataBZZEAZAB		c	2005.1012	2005.1012				
0					UKDataBZZEAZAC		r	2005.1013	2005.1013				
0					UKDataBZZEAZAD		c	2005.1014	2005.1014				
0					UKDataBZZEAZAE		c	2005.1015	2005.1015				
0					UKDataBZZEAZAF		c	2005.1016	2005.1016				
0					UKDataBZZEAZAG		c	2005.1017	2005.1017				
0					UKDataBZZEAZAH		r	2005.1018	2005.1018				
0					UKDataBZZEAZAI		c	2005.1019	2005.1019				
0					UKDataBZZEAZAJ		w	2005.101A	2005.101A				
0					UKDataBZZEAZAK		c	2005.101B	2005.101B				
0					UKDataBZZEAZAL		c	2005.101C	2005.101C				
0					UKDataBZZEAZAM		w	2005.101D	2005.101D				
0					UKDataBZZEAZAN		t	2005.101E	2005.101E				
0					UKDataBZZEAZAO		t	2005.101F	2005.101F				
0					UKDataBZZEAZBZ		l	2005.1020	2005.1020				
0					UKDataBZZEAZBA		w	2005.1021	2005.1021				
0					UKDataBZZEAZBB		n	2005.1022	2005.1022				
0					UKDataBZZEAZBC		w	2005.1023	2005.1023				
0					UKDataBZZEAZBE		w	2005.1025	2005.1025				
0					UKDataBZZEAZBF		c	2005.1026	2005.1026				
0					UKDataBZZEAZBG		t	2005.1027	2005.1027				
0					UKDataBZZEAZBH		c	2005.1028	2005.1028				
0					UKDataBZZEAZBI		c	2005.1029	2005.1029				
0					UKDataBZZEAZBJ		n	2005.102A	2005.102A				
0					UKDataBZZEAZBK		w	2005.102B	2005.102B				
0					UKDataBZZEAZBL		c	2005.102C	2005.102C				
0					UKDataBZZEAZBM		n	2005.102D	2005.102D				
0					UKDataBZZEAZBN		c	2005.102E	2005.102E				
0					UKDataBZZEAZBO		c	2005.102F	2005.102F				
0					UKDataBZZEAZCZ		a.l	2005.1030	2005.1030				
0					UKDataBZZEAZCA		c	2005.1031	2005.1031				
0					UKDataBZZEAZCB		r	2005.1032	2005.1032				
0					UKDataBZZEAZCC		l	2005.1033	2005.1033				
0					UKDataBZZEAZCD		c	2005.1034	2005.1034				
0					UKDataBZZEAZCE		t	2005.1035	2005.1035				
0					UKDataBZZEAZCF		c	2005.1036	2005.1036				
0					UKDataBZZEAZCG		c	2005.1037	2005.1037				
0					UKDataBZZEAZCH		c	2005.1038	2005.1038				
0					UKDataBZZEAZCI		c	2005.1039	2005.1039				
0					UKDataBZZEAZCJ		t	2005.103A	2005.103A				
0					UKDataBZZEAZCK		c	2005.103B	2005.103B				
0					UKDataBZZEAZCL		c	2005.103C	2005.103C				
0					UKDataBZZEAZCM		w	2005.103D	2005.103D				
0					UKDataBZZEAZCN		r	2005.103E	2005.103E				
0					UKDataBZZEAZEO		t	2005.105F	2005.105F				
0					UKDataBZZEAZFZ		n	2005.1060	2005.1060				
0					UKDataBZZEAZFA		t	2005.1061	2005.1061				
0					UKDataBZZEAZFC		w	2005.1063	2005.1063				
0					UKDataBZZEAZFN		t	2005.106E	2005.106E				
0					UKDataBZZEAZFO		t	2005.106F	2005.106F				
0					UKDataBZZEAZGZ		r	2005.1070	2005.1070				
0					UKDataBZZEAZHZ		r	2005.1080	2005.1080				
0					UKDataBZZEAZHF		w	2005.1086	2005.1086				
0					UKDataBZZEAZIO		r	2005.109F	2005.109F				
0					UKDataBZZEAZJZ		l	2005.10A0	2005.10A0				
0					UKDataBZZEAZJA		r	2005.10A1	2005.10A1				
0					UKDataBZZEAZJB		c	2005.10A2	2005.10A2				
0					UKDataBZZEAZJH		n	2005.10A8	2005.10A8				
0					PixelDataGroupLength		l	7FE0.0000		7FE0.0000			
0					PixelData		r	7FE0.0010	7FE0.0010	7FE0.0010	7FE0.0010	7FE0.0010	7FE0.0010
0					UKDataHZZAZZZZ		l	8001.0000		8001.0000			
0					UKDataHZZAZZAZ		t	8001.0010		8001.0010			
0					UKDataHZZAAZZA		r	8001.1001		8001.1001			
0					SliceNumber	!$self->value(['FFFF.FFFF','CTNSliceNumber','GyroNTSliceNumber','CTNSliceNumber','CTNSliceNumber']->[$$DICOM::curdict -8],-1)!	n	FF00.00F1	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA	
